onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/hula_hoop/hula_hoop_12s.jpg	9732	811	12	n/a	811.0000	11605.0000	12.0000	n/a
4.6500	500	exp	images_meg/awning/awning_12s.jpg	540	45	12	n/a	45.0000	631.0000	12.0000	n/a
6.3000	500	exp	images_meg/sandal/sandal_12s.jpg	16236	1353	12	n/a	1353.0000	19253.0000	12.0000	n/a
7.8000	500	exp	images_meg/cantaloupe/cantaloupe_12s.jpg	3168	264	12	n/a	264.0000	3893.0000	12.0000	n/a
9.5000	500	exp	images_meg/ear/ear_12s.jpg	6468	539	12	n/a	539.0000	7834.0000	12.0000	n/a
11.2000	500	exp	images_meg/tent/tent_12s.jpg	19728	1644	12	n/a	1644.0000	23218.0000	12.0000	n/a
12.8500	500	exp	images_meg/robe/robe_12s.jpg	15816	1318	12	n/a	1318.0000	18763.0000	12.0000	n/a
14.4500	500	exp	images_meg/pocketknife/pocketknife_12s.jpg	14496	1208	12	n/a	1208.0000	17174.0000	12.0000	n/a
16.1000	500	exp	images_meg/mistletoe/mistletoe_12s.jpg	12096	1008	12	n/a	1008.0000	14372.0000	12.0000	n/a
17.8000	500	test	images_test_meg/ferris_wheel_20s.jpg	22489	580	13	41.0000	580.0000	8404.0000	20.0000	n/a
19.1000	500	catch	images_catch_meg/catch035.jpg	22283	1855	35	n/a	n/a	n/a	n/a	0.6081
20.7000	500	exp	images_meg/bell/bell_12s.jpg	1404	117	12	n/a	117.0000	1792.0000	12.0000	n/a
22.2000	500	exp	images_meg/mold2/mold2_12s.jpg	12168	1014	12	n/a	1014.0000	14451.0000	12.0000	n/a
23.5000	500	exp	images_meg/hoodie/hoodie_12s.jpg	9516	793	12	n/a	793.0000	11350.0000	12.0000	n/a
25.0500	500	test	images_test_meg/beachball_16s.jpg	22455	100	13	7.0000	100.0000	1510.0000	16.0000	n/a
26.7000	500	test	images_test_meg/crayon_15s.jpg	22479	436	13	31.0000	436.0000	6312.0000	15.0000	n/a
28.2000	500	exp	images_meg/hairnet/hairnet_12s.jpg	8844	737	12	n/a	737.0000	10577.0000	12.0000	n/a
29.7500	500	exp	images_meg/wheat/wheat_12s.jpg	21672	1806	12	n/a	1806.0000	25451.0000	12.0000	n/a
31.4500	500	exp	images_meg/plaster_cast/plaster_cast_12s.jpg	14352	1196	12	n/a	1196.0000	17010.0000	12.0000	n/a
33.0500	500	exp	images_meg/rug/rug_12s.jpg	16092	1341	12	n/a	1341.0000	19079.0000	12.0000	n/a
34.6000	500	exp	images_meg/ping-pong_table/ping-pong_table_12s.jpg	14220	1185	12	n/a	1185.0000	16864.0000	12.0000	n/a
35.9500	500	exp	images_meg/pocket_watch/pocket_watch_12s.jpg	14484	1207	12	n/a	1207.0000	17158.0000	12.0000	n/a
37.3000	500	exp	images_meg/sauce/sauce_12s.jpg	16356	1363	12	n/a	1363.0000	19383.0000	12.0000	n/a
38.7500	500	exp	images_meg/dart/dart_12s.jpg	5688	474	12	n/a	474.0000	6871.0000	12.0000	n/a
40.1000	500	exp	images_meg/coffee/coffee_12s.jpg	4536	378	12	n/a	378.0000	5456.0000	12.0000	n/a
41.4000	500	exp	images_meg/peppermint/peppermint_12s.jpg	13836	1153	12	n/a	1153.0000	16418.0000	12.0000	n/a
42.7500	500	catch	images_catch_meg/catch121.jpg	22369	1855	121	n/a	n/a	n/a	n/a	0.5795
44.4500	500	exp	images_meg/napkin/napkin_12s.jpg	12612	1051	12	n/a	1051.0000	14972.0000	12.0000	n/a
46.1000	500	exp	images_meg/knitting_needle/knitting_needle_12s.jpg	10584	882	12	n/a	882.0000	12629.0000	12.0000	n/a
47.7000	500	exp	images_meg/cranberry/cranberry_12s.jpg	5172	431	12	n/a	431.0000	6229.0000	12.0000	n/a
49.0500	500	exp	images_meg/turkey/turkey_12s.jpg	20808	1734	12	n/a	1734.0000	24444.0000	12.0000	n/a
50.6000	500	exp	images_meg/hinge/hinge_12s.jpg	9360	780	12	n/a	780.0000	11171.0000	12.0000	n/a
52.0000	500	exp	images_meg/barcode/barcode_12s.jpg	888	74	12	n/a	74.0000	1099.0000	12.0000	n/a
53.3500	500	exp	images_meg/hopscotch/hopscotch_12s.jpg	9564	797	12	n/a	797.0000	11408.0000	12.0000	n/a
54.9000	500	exp	images_meg/freezer/freezer_12s.jpg	7692	641	12	n/a	641.0000	9245.0000	12.0000	n/a
56.4000	500	exp	images_meg/wallet/wallet_12s.jpg	21324	1777	12	n/a	1777.0000	25058.0000	12.0000	n/a
57.8500	500	exp	images_meg/lingerie/lingerie_12s.jpg	11196	933	12	n/a	933.0000	13331.0000	12.0000	n/a
59.2000	500	exp	images_meg/hoe/hoe_12s.jpg	9420	785	12	n/a	785.0000	11238.0000	12.0000	n/a
60.6000	500	catch	images_catch_meg/catch099.jpg	22347	1855	99	n/a	n/a	n/a	n/a	0.5518
62.3000	500	exp	images_meg/thumb/thumb_12s.jpg	19848	1654	12	n/a	1654.0000	23362.0000	12.0000	n/a
63.7000	500	test	images_test_meg/velcro_13s.jpg	22647	1757	13	199.0000	1757.0000	24774.0000	13.0000	n/a
65.1500	500	exp	images_meg/wire_cutters/wire_cutters_12s.jpg	21960	1830	12	n/a	1830.0000	25780.0000	12.0000	n/a
66.8000	500	exp	images_meg/megaphone/megaphone_12s.jpg	11928	994	12	n/a	994.0000	14162.0000	12.0000	n/a
